Exported by,ExportComments.com,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Source URL,"https://www.google.com/maps/place/CMA+Boys+Hostel./@12.937739,77.580984,12z/data=!4m8!3m7!1s0x3bae15969a33d3df:0xc04e964dc71c5246!8m2!3d12.9377391!4d77.580984!9m1!1b1!16s%2Fg%2F11c2pk3qvl?hl=en&entry=ttu",,,,,,,,,
Timezone,UTC,,,,,,,,,
,,,,,,,,,,
Some Reviews may not appear here because of their privacy settings,,,,,,,,,,
,,,,,,,,,,
,,Author,Author Description,Date,Rating,Helpful count,Review,Picture included,Language,(view source)
1,,anand hegde,4 reviews,2017-04-28 13:15:04,5,,,no,,view review
2,,Harsh,Local Guide · 161 reviews,2018-10-02 04:04:38,3,,,no,,view review
3,,Shafia Kauser,Local Guide · 106 reviews,2020-08-12 16:38:19,5,1,Very nice place,no,en,view review
4,,Irfan Pasha,7 reviews,2020-08-23 14:29:58,5,,,no,,view review
5,,Rahil pasha,Local Guide · 5 reviews,2020-08-25 04:33:34,5,,,no,,view review
6,,Sivaraj Sivu,,2020-09-08 16:09:39,5,,,no,,view review
7,,Ansar Pasha,Local Guide · 34 reviews,2020-11-19 17:42:30,5,,,no,,view review
8,,Jishnu Satheesh,Local Guide · 125 reviews,2020-12-06 09:18:13,4,2,"The place is not yet opened, might open by 2021. The place looked nice from outside.",no,en,view review
9,,Roquiya Badr,Local Guide · 46 reviews,2020-12-15 09:32:30,5,,,no,,view review
10,,Rashad Ahmed,Local Guide · 31 reviews,2021-01-04 10:28:16,4,,,no,,view review
11,,Anas Mahmood,2 reviews,2021-01-09 19:17:53,5,,,no,,view review
12,,MD Raiyan,Local Guide · 7 reviews,2021-01-11 11:13:34,5,,,no,,view review
13,,Taffu,1 review,2021-02-05 10:43:40,4,,,no,,view review
14,,Muhammed Misbah,36 reviews,2021-02-13 10:47:41,4,,,no,,view review
15,,Mohammed Jawaad,5 reviews,2021-02-27 06:56:13,4,2,Just Checked In!!!!!;-)),no,en,view review
16,,SHANAWAZ HYDER,Local Guide · 18 reviews,2021-02-28 10:50:51,5,,,no,,view review
17,,Sabeer Zain,1 review,2021-03-03 11:40:25,5,,,no,,view review
18,,Mohammed Zakir,Local Guide · 39 reviews,2021-03-07 07:00:18,4,3,"✨
https://lh5.googleusercontent.com/p/AF1QipMd9h9Xb80MFoNDGTdYpG7log4V8ALcZv1uxV9p=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipML0Zb2fLEvNaPpbFelYP5jGE1PjTULCdCckM99=w150-h150-k-no-p",yes,en,view review
19,,Suleman Khan,8 reviews,2021-03-28 15:33:37,5,,,no,,view review
20,,md furquan uddin,Local Guide · 63 reviews,2021-04-09 05:23:54,5,5,Very nice hostel for muslim students studying in Banglore,no,en,view review
21,,Suhail Khan,Local Guide · 5 reviews,2021-04-21 08:35:17,5,,,no,,view review
22,,Saqib,1 review,2021-07-29 08:03:25,5,,,no,,view review
23,,Syed Khizar Ahmed,5 reviews,2021-08-03 10:38:19,5,,,no,,view review
24,,Md Saqeeb,2 reviews,2021-08-04 16:21:55,5,,,no,,view review
25,,ZBR Shaikh,,2021-08-13 14:12:30,5,,,no,,view review
26,,Ashraf nawab moghal,,2021-09-12 05:57:44,5,,,no,,view review
27,,Dr. Mohammed Huzaifa Saud,Local Guide · 17 reviews,2021-09-19 15:12:59,5,,,no,,view review
28,,Mudassir Jamil Kanth,4 reviews,2021-11-18 16:53:31,1,1,They don't provide rooms to Kashmiri Muslims so don't waste your time there is you're a Kashmiri.,no,en,view review
29,,Md Sadiq,2 reviews,2022-01-11 03:24:42,5,,,no,,view review
30,,Noorulla M,2 reviews,2022-02-04 10:18:23,5,4,Best and clean hustle for our muslim friends,no,en,view review
31,,sohail khan,Local Guide · 15 reviews,2022-02-20 14:36:45,4,,,no,,view review
32,,Mohammed Tahir sm,3 reviews,2022-02-24 14:05:03,5,,,no,,view review
33,,Mohammed Ameen,Local Guide · 29 reviews,2022-03-01 08:04:42,5,3,The hostel is clean and tidy. A good place for your kids to stay. The hostel is cheap and best.,no,en,view review
34,,Syed saleem,Local Guide · 14 photos,2022-03-01 13:40:01,5,,,no,,view review
35,,MS FAZLUR RAHMAN,53 reviews,2022-03-18 14:47:28,5,13,"Hostel maintaining is very clean
Best place for students food also very good and hostel committee was not to earn money they helps students who came from out of Bangalore superb job thanks alot to CMA group",no,en,view review
36,,kashif ahmeds,2 reviews,2022-04-11 14:55:33,4,,,no,,view review
37,,mohammed aquib,Local Guide · 15 reviews,2022-05-12 12:10:01,4,,,no,,view review
38,,Mohammed moiz,2 reviews,2022-05-26 17:31:38,4,,,no,,view review
39,,Musab Faheel,Local Guide · 9 reviews,2022-06-04 14:13:53,4,,,no,,view review
40,,Noor Jahan,1 review,2022-06-22 12:21:30,5,,,no,,view review
41,,Afthab Ahmed m.n,3 reviews,2022-07-14 06:54:42,5,1,Nice hostel,no,en,view review
42,,mdshadulla baba,Local Guide · 12 reviews,2022-08-01 04:18:18,5,,,no,,view review
43,,Muzakkir Ali Junedi M,,2022-09-06 08:41:32,5,,,no,,view review
44,,TAUFIQ,Local Guide · 13 reviews,2022-09-12 16:45:16,5,,,no,,view review
45,,Sm Nawaz shariff,15 reviews,2022-10-16 14:38:30,4,,Hostel,no,en,view review
46,,SHUAIB RAHAMAN,,2022-10-31 12:07:44,5,,,no,,view review
47,,syed salman,Local Guide · 10 reviews,2022-11-11 14:57:52,5,,,no,,view review
48,,mohd ayaz,1 review,2022-12-21 19:25:36,5,6,Contact number and price please?,no,en,view review
49,,Syed Abu Bakar siddiq,5 reviews,2023-01-23 09:37:09,5,,Good,no,en,view review
50,,Tabrez khaisar,2 reviews,2023-01-29 09:09:02,5,,,no,,view review
51,,Junaid Saiyad,Local Guide · 14 reviews,2023-02-08 11:29:54,5,3,What is the price of stay? Is it open for working employees??,no,en,view review
52,,Mohammed Abdul Talha Shahri,2 reviews,2023-02-19 20:02:23,5,,,no,,view review
53,,Jamal Afraz,3 reviews,2023-04-15 15:00:13,5,6,Can  I get contact number please,no,en,view review
54,,Mohamed Riswan,7 reviews,2023-04-25 05:03:57,5,,Add the phone number,no,en,view review
55,,mdrehan uddin,10 reviews,2023-07-07 09:09:42,5,,Waste,no,en,view review
56,,Shaik Arbaz001,1 review,2023-07-12 04:31:14,5,3,"There culture is good and the organization provides a decent atmosphere for one's career growth.
Thank you Cma group and warden sir and special thanks for irshad bhaiya for good food .",no,en,view review
57,,Fareed Pasha,Local Guide · 20 reviews,2023-07-27 15:43:11,5,1,I'm being in this hostel ...well good...better,no,en,view review
58,,Syed Nayab,4 reviews,2023-08-11 06:45:09,5,,,no,,view review
59,,SALMA AJMAL,5 reviews,2023-08-20 06:11:03,5,,Mashallah super.,no,mr,view review
60,,Altafur Rahman,Local Guide · 19 reviews,2023-08-29 14:45:27,4,9,"Can someone please provide the Hostel In charge's phone number?
i don't find it anywhere;",no,en,view review
61,,Sayaz Saya,Local Guide · 75 reviews,2023-09-01 07:06:02,4,4,Can anyone add the phone number??,no,en,view review
62,,HUSTLEER *,Local Guide · 57 reviews,2023-10-11 19:53:58,5,,Nice,no,en,view review
63,,A S K,Local Guide · 36 reviews,2023-11-26 03:56:46,4,,"Best hostel for muslim from outside state, and studying there.",no,en,view review
64,,majid khan,9 reviews,2023-11-29 08:49:11,5,,Good experience,no,en,view review
65,,mohammed jeelan,,2024-02-09 12:01:20,5,,,no,,view review
66,,Shoiab Owasi,1 photo,2024-02-25 10:27:07,5,,,no,,view review
67,,sal Far,Local Guide · 141 reviews,2024-04-03 02:14:22,4,,,no,,view review
68,,Abdul Razack,Local Guide · 516 reviews,2024-05-08 07:36:21,4,1,Google team please note that this place has changed  yo HDFC CUSTOMER SUPPORT CENTER.,no,en,view review
